"varid","decision"
"G3B0073","stigmatizing"
"J901","stigmatizing"
"J895","stigmatizing"
"G3B0650","stigmatizing"
"G3B0656","stigmatizing"
"J896","stigmatizing"
"SESA13A","stigmatizing"
"SESA13B","stigmatizing"
"G3B0651","stigmatizing"
"H719","stigmatizing"
"H724","stigmatizing"
"J902","stigmatizing"
"G3B0657","stigmatizing"
"H717","stigmatizing"
"H720","stigmatizing"
"J075","stigmatizing"
"J079","stigmatizing"
"J077","stigmatizing"
"H725","stigmatizing"
"G3B0671","stigmatizing"
"J729","stigmatizing"
"PEDUC","stigmatizing"
"G3B0631","stigmatizing"
"PULLID","stigmatizing"
"G3B0670","stigmatizing"
"G3B0673","stigmatizing"
"G3A045","stigmatizing"
"AF1V15A","stigmatizing"
"AF1V17A","stigmatizing"
"G3B0089","stigmatizing"
"PDSB22A","stigmatizing"
"J728","stigmatizing"
"J731","stigmatizing"
"G3B0672","stigmatizing"
"G3B0677","stigmatizing"
"G3B0669","stigmatizing"
"G3A056","stigmatizing"
"G3A055","stigmatizing"
"G3B0687","stigmatizing"
"G3B0679","stigmatizing"
"J727","stigmatizing"
"J730","stigmatizing"
"J735","stigmatizing"
"G3B0688","stigmatizing"
"G3B0684","stigmatizing"
"G3B0676","stigmatizing"
"G3B0675","stigmatizing"
"G3B0685","stigmatizing"
"G3B0681","stigmatizing"
"G3B0683","stigmatizing"
"A03SDGRE","stigmatizing"
"SPOUSDIEYEARN","stigmatizing"
"H073","stigmatizing"
"H072","stigmatizing"
"H079","stigmatizing"
"PDSB17A","stigmatizing"
"PDSA23A","stigmatizing"
"H708","stigmatizing"
"SESA11B","stigmatizing"
"SESA11A","stigmatizing"
"J737","stigmatizing"
"J745","stigmatizing"
"G3B0674","stigmatizing"
"G3B0678","stigmatizing"
"G3B0682","stigmatizing"
"G3B0686","stigmatizing"
"G3B0680","stigmatizing"
"A03PLCMP","stigmatizing"
"MAJACC","stigmatizing"
"H078","stigmatizing"
"G089","stigmatizing"
"G3B0075","stigmatizing"
"G3B0090","stigmatizing"
"J746","stigmatizing"
"J742","stigmatizing"
"J734","stigmatizing"
"J733","stigmatizing"
"J743","stigmatizing"
"J739","stigmatizing"
"J741","stigmatizing"
"A03DEGRE","stigmatizing"
"H076","stigmatizing"
"H075","stigmatizing"
"G3B0083","stigmatizing"
"PDSA18A","stigmatizing"
"EPPLPA_X","stigmatizing"
"G3A491","stigmatizing"
"J732","stigmatizing"
"J736","stigmatizing"
"J740","stigmatizing"
"J744","stigmatizing"
"J738","stigmatizing"
"FRNDIV","stigmatizing"
"EPPLPA_6","stigmatizing"
"EPPLPA_7","stigmatizing"
"EPPLPA_8","stigmatizing"
"FRIENDIE","stigmatizing"
"HPAA22","stigmatizing"
"E03DEGRE","stigmatizing"
"H057","stigmatizing"
"H059","stigmatizing"
"H058","stigmatizing"
"G3B0088","stigmatizing"
"F68PDCHG","stigmatizing"
"PMAINJOB","stigmatizing"
"NATHOR_X","stigmatizing"
"DRNKAG23","stigmatizing"
"B03DEGRE","stigmatizing"
"C03DEGRE","stigmatizing"
"D03DEGRE","stigmatizing"
"F03DEGRE","stigmatizing"
"B03PLCMP","stigmatizing"
"SPOUSDIETHINK","stigmatizing"
"EPLTYPE_6","stigmatizing"
"EPLTYPE_7","stigmatizing"
"FX032","stigmatizing"
"G095","stigmatizing"
"G090","stigmatizing"
"G094","stigmatizing"
"G3B0109","stigmatizing"
"G3B0081","stigmatizing"
"G3B0074","stigmatizing"
"H708","stigmatizing"
"DRNKAG14","stigmatizing"
"DRNKAG18","stigmatizing"
"DRNKAG30","stigmatizing"
"DRNKAG50","stigmatizing"
"DIVORCE","stigmatizing"
"EPLTYPE_8","stigmatizing"
"FX030","stigmatizing"
"FY030","stigmatizing"
"FY032","stigmatizing"
"G088","stigmatizing"
"G3B0105","stigmatizing"
"G3B0107","stigmatizing"
"G3B0082","stigmatizing"
"F1_PC2_3","stigmatizing"
"EPPL_4","stigmatizing"
"EPPL_5","stigmatizing"
"NOCNCVHR","stigmatizing"
"VAGITCH1Y","stigmatizing"
"FY034","stigmatizing"
"FV032","stigmatizing"
"FV036","stigmatizing"
"FV034","stigmatizing"
"G091","stigmatizing"
"G096","stigmatizing"
"NATHOR_7","stigmatizing"
"NATHOR_8","stigmatizing"
"G3B0664","stigmatizing"
"G3B0665","stigmatizing"
"P_X","stigmatizing"
"G3A491","stigmatizing"
"H472","stigmatizing"
"H471","stigmatizing"
"VAGDRY1Y","stigmatizing"
"F18RBMRG","stigmatizing"
"F18R7MRG","stigmatizing"
"FX034","stigmatizing"
"FW034","stigmatizing"
"STOP_AGE","stigmatizing"
"IDTYPE","stigmatizing"
"A03SED","stigmatizing"
"F61PRBLM","stigmatizing"
"MF252","stigmatizing"
"FW030","stigmatizing"
"FW032","stigmatizing"
"H048","stigmatizing"
"H047","stigmatizing"
"F68TMPRG","stigmatizing"
"J588","stigmatizing"
"J587","stigmatizing"
"SF25","stigmatizing"
"NOCNCVUT","stigmatizing"
"E_X","stigmatizing"
"F1_PC2_4","stigmatizing"
"F1_PC2_5","stigmatizing"
"F1_PC2_1","stigmatizing"
"F1_PC2_2","stigmatizing"
"HRTCMBP","stigmatizing"
"A03FAED","stigmatizing"
"A03MOED","stigmatizing"
"EDUC","stigmatizing"
"IRRITABLE1Y","stigmatizing"
"LIFEIMPORTANT","stigmatizing"
"G3A068","stigmatizing"
"G3A065","stigmatizing"
"EPLTYPE_X","stigmatizing"
"G093","stigmatizing"
"G092","stigmatizing"
"FW160","stigmatizing"
"NATHOR_4","stigmatizing"
"NATHOR_5","stigmatizing"
"NATHOR_6","stigmatizing"
"PROGEST","stigmatizing"
"DISB1D","stigmatizing"
"DISB1F","stigmatizing"
"DISB1G","stigmatizing"
"RSNLES29","stigmatizing"
"RSNLES59","stigmatizing"
"RSNMOR29","stigmatizing"
"RSNMOR59","stigmatizing"
"F68MNREG","stigmatizing"
"SRM_6","stigmatizing"
"SRM_8","stigmatizing"
"SRM_7","stigmatizing"
"FELTDEP","stigmatizing"
"FR142","stigmatizing"
"FW524","stigmatizing"
"FX524","stigmatizing"
"MEDSLEEP","stigmatizing"
"F60ALC","stigmatizing"
"INTSOC","stigmatizing"
"F61PHYSC","stigmatizing"
"F61MARK","stigmatizing"
"C09OFTEN","stigmatizing"
